danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,title,artist,label
0.364,0.607,-9.791,0.125,0.451,0.0,0.251,0.598,79.987,runaround sue,dion,0
0.401,0.213,-13.124,0.0544,0.342,1.01e-05,0.0596,0.678,110.623,september in the rain,dinah washington,0
0.597,0.558,-9.922,0.0555,0.656,0.0,0.356,0.779,107.173,backtrack,faron young,0
0.623,0.746,-10.285,0.0454,0.804,0.000116,0.262,0.965,75.353,jambalaya (on the bayou),fats domino,0
0.539,0.26,-10.414,0.0268,0.588,0.0,0.134,0.492,92.032,break it to me gently,brenda lee,0
0.61,0.379,-9.381,0.0278,0.622,0.0,0.144,0.48,97.166,crying in the rain,the everly brothers,0
0.811,0.545,-11.434,0.0665,0.688,0.0,0.171,0.91,118.168,cry to me,solomon burke,0
0.366,0.413,-6.496,0.0303,0.818,0.0,0.2,0.193,73.4,don't break the heart that loves you,connie francis,0
0.669,0.652,-10.602,0.0366,0.681,0.282,0.101,0.966,87.797,lovesick blues,floyd cramer,0
0.31,0.279,-13.552,0.0308,0.815,0.0,0.318,0.377,79.397,i can't stop loving you,ray charles,0
0.646,0.395,-12.828,0.254,0.269,0.00666,0.0741,0.848,155.839,boom boom,john lee hooker,0
0.449,0.362,-10.38,0.0279,0.743,0.0,0.132,0.6,90.822,sealed with a kiss,brian hyland,0
0.589,0.447,-12.912,0.0748,0.821,0.0,0.0999,0.789,146.845,speedy gonzales,pat boone,0
0.743,0.799,-5.466,0.0375,0.699,0.0,0.0635,0.965,116.112,breaking up is hard to do,neil sedaka,0
0.497,0.762,-4.462,0.038,0.354,5.89e-05,0.278,0.727,111.534,venus in blue jeans,jimmy clanton,0
0.673,0.483,-11.485,0.0298,0.452,6.49e-06,0.353,0.888,123.335,up on the roof,the drifters,0
0.519,0.644,-11.735,0.0344,0.625,0.523,0.0962,0.967,88.814,java,floyd cramer,0
0.659,0.66,-8.337,0.0441,0.627,0.000217,0.136,0.672,116.634,rhythm of the rain,the cascades,0
0.761,0.561,-12.306,0.0354,0.129,7.71e-06,0.0833,0.966,117.483,rhythm of the rain,the cascades,0
0.495,0.435,-9.99,0.0286,0.67,0.00038,0.13,0.71,108.189,in dreams,roy orbison,0
0.612,0.591,-7.138,0.0353,0.719,0.00833,0.478,0.908,124.118,don't say nothin' bad (about my baby),the cookies,0
